"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Bangladesh","BGD","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.61116027143823","6.69138419067813","6.96521390375867","7.04644841818552","7.13567003946154","7.04330405780911","6.91726266856821","7.65602988282474","7.49811626276927","7.83468474946733","8.68592739166971","","","","",
"Bulgaria","BGR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8331284450966","22.3338246131172","16.9033864541833","15.2137838742054","21.2389649923897","20.0680744809549","17.0254823146209","16.6332101801117","16.1692343423576","17.1791416546139","17.5477830119962","16.7907771603118","16.0044690416016","17.8753587134587","20.6176103921887","20.9391069402489","21.7837058943418","21.7613073255494","22.0600508643792","19.7106314560673","18.2976901083404","17.9137181158793","18.6087132453027","","","",
"Bahrain","BHR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18737424547284","5.04119375468111","5.39072995969548","5.34956272694727","5.1734018738224","4.79676297157238","5.04293270465644","5.09780902702597","5.66427250440841","5.01305503165515","3.73277443448614","4.10363792390765","3.56463389484186","3.30681072610287","4.21683836344847","1.16184537753338","1.1661564552523","1.14509796242081","1.23581686284367","1.3631667858969","1.17622843572582","1.10389377202838","","","","",
"Bahamas, The","BHS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8822220856446","21.6867291495962","21.3974471391285","20.3141072063129","18.9605003726806","19.7000140636424","20.3172716269484","20.5007230656858","19.7778885682037","","",
"Belarus","BLR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4434829637642","26.6309422319653","24.7499044578828","19.8877124542637","18.7997552116564","20.7345853025692","17.1123265017102","16.6724778463851","16.6247345026167","15.7546642442876","14.2010383230738","17.6881219095961","18.3713469008917","20.1496562779039","22.2230966228065","23.7266987288672","25.3533892055523","19.2596284110703","16.9158136015506","15.001596795237","15.1402107077234","","","",
"Belize","BLZ","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4061251664447","20.7109742461983","19.9355860202372","19.5219061732584","19.9161178545085","18.7529312042302","19.538846345275","19.6552313385805","19.6984014120314","17.4015108582646","17.8275939057666","18.7020147436337","19.299784354792","19.1747866915737","19.6633265585858","21.3042922979813","21.7845669299358","22.9230721606196","21.6991116961427","22.4811227135348","23.5966520829071","22.5662230189315","22.6408223869954","","","",
"Bermuda","BMU","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0091242848293","9.52972648557028","9.73379539867745","10.5001503202562","11.6428205077901","","","10.1955069326502","11.9522881333388","13.1676716837768","13.7748451715991","14.5597576020639","15.7200714371672","15.2443782233168","15.7527804880155","16.5289743327422","16.1823832425511","15.8306780503185","15.5090108560312","14.3829611449521","14.194705972189","14.9081704977842","14.0937349687227","","","",
"Barbados","BRB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.7385502290076","25.2610613173993","26.1997050416934","24.7793842221448","26.6907537175539","26.4802500108814","23.9810252933507","25.1826735237881","27.7226516636072","26.1415580338511","25.1927341976174","","",
"Brunei Darussalam","BRN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.41394270965256","4.95247801880619","5.04877265136773","6.23357039072189","5.92463011173419","6.61170560046873","7.53024467648853","6.53889839316487","8.01373770379845","7.01519789586183","10.0178503287254","8.52733957641592","9.24916629341285","9.36550782893757","7.68269685762774","8.34657789065903","9.03099068218882","7.5194672695063","8.41593233961713","9.23552702504043","","","","","","",
"Botswana","BWA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5016129375315","25.557193488693","27.8455400724745","23.6847992198649","19.9167439175835","16.7657958548749","14.9371078939367","","","","","","","","","","26.9325573337029","25.7128158352885","27.3742013503065","27.28606516563","23.6044179264386","23.1679961539019","26.6581668831006","","","",
"Central African Republic","CAF","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.21197992122891","","","","8.28435763807191","8.21724823324451","9.06192626615943","8.36186975673461","9.45513833242755","","","",
"Canada","CAN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4667250799992","14.3854302453905","13.7274759044381","13.1272690377633","13.3582822309958","13.9394539645106","14.6324067026413","14.70615862415","14.7664560358139","14.9424587656147","14.2775315014029","13.4936505112842","13.3171837659357","13.4255141105258","13.3694385380411","13.4096166163837","13.3688616560444","12.4461867339338","12.2592946701578","11.8114673400864","11.7017153536639","11.7244275426108","11.7059773709326","","",
"Central Europe and the Baltics","CEB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3866700178534","20.1462675870247","18.2316543847409","17.7219974071599","17.6198249274665","16.7403703634389","16.2385164914071","15.5898734840316","15.9215206335219","17.2004628796932","16.6150206094466","16.8106703717465","16.8950242501888","17.4324256184367","17.4860429556066","16.0152095020238","16.062375467984","16.1164813776788","16.091757321204","16.1414139062956","","",
"Switzerland","CHE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.15445371383388","7.9068381382753","8.06387775664668","7.43295230919533","7.97293930941663","8.05037907986927","8.47525645693807","8.42508300497908","9.38880139731859","9.00671556185073","10.199901708219","9.18730782500695","9.15819670780745","9.1666336975281","9.18393830640753","9.3849106609923","9.48015764836766","9.30940835007995","9.96051952751061","9.82029431585135","9.63418825838949","9.7591240629845","9.50516716424641","","","",
"Channel Islands","CHI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9630616105456","15.8177072096583","16.2726506631815","16.8631914836323","16.1500238666964","15.5447565398174","16.6551901669572","16.3375563961215","16.2922154680653","15.6327897842839","15.8538415716319","15.7327606395313","15.9169040741614","15.4988678752396","16.1707283071597","17.816575180102","19.506652486752","20.3183418501353","18.7130907072748","14.5596275680578","17.4362429677872","18.9657265851057","19.1302742542187","17.4944740933725","","",
"China","CHN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.63484468180561","9.13140240176498","9.84698036783904","10.1809272057577","10.3956013354774","10.2923722076604","10.3940977870316","","","","",
"Cote d'Ivoire","CIV","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0109075869416","","","","","18.8190748986858","","","","","","14.3103031549459","14.633696779874","13.377618262535","14.1947930853266","13.8840874242143","14.657858482658","15.0584166810581","15.0535032800027","14.5990322676321","14.3255146586256","10.9316199099345","14.2574324843136","14.5295111669374","","",
