"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Burkina Faso","BFA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","1.67983","","1.9618","","","1.75448","","1.76396","","","1.42608","","","","","","3.4511","","1.44026","","","","","","","","","4.4326","4.45703","4.58858","","","3.93896","4.48326","4.05353","4.52597","","",
"Bangladesh","BGD","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","1.13093","0.9376","1.0715","1.01164","1.03267","1.22303","1.27118","1.34349","1.51364","","","1.51912","1.42566","1.63177","1.69262","","","","1.95247","","2.13282","2.12508","2.17193","2.01715","2.06939","1.94014","","2.13129","2.20222","2.05457","1.93942","","","2.0458","1.96616","","",
"Bulgaria","BGR","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","3.52948","","","","","","","","","","4.45406","5.42962","5.26046","4.95049","4.17066","3.44701","2.71204","","2.81427","","","3.35575","3.39842","4.00671","2.34126","4.18855","3.98817","3.7474","4.31128","4.43296","4.01754","3.66867","3.58936","","","",
"Bahrain","BHR","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87436","2.575","2.49678","","","","2.6447","","","",
"Bahamas, The","BHS","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.84999","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.00001","6.19662","","","","5.71226","5.87103","6.07696","5.1521","","4.51672","5.41013","4.84382","5.12106","5.17594","4.98752","",
"Belize","BLZ","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.44439","5.02928","5.79918","","5.20613","5.2994","","","","5.68789","6.10014","6.621","","","6.21729","","",
"Bermuda","BMU","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","4.1079","","3.43442","","","","","","","","","","3.03449","","","","","3.1362","3.15065","3.47605","","","","","","2.15227","","","","","1.66627","1.77588","1.98877","","","","2.61519","2.64421","","","","1.78285","",
"Bolivia","BOL","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.78421","5.60817","4.65741","","5.52301","5.65932","5.47342","5.89946","6.23031","6.37904","","","6.31361","","7.03973","8.0812","7.60011","6.89264","6.43691","","7.03755","",
"Brazil","BRA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.47317","","","4.73948","3.78473","3.93814","3.84304","3.74435","","3.97255","4.47671","4.86989","4.97835","5.2727","5.47154","5.64737","5.73953","5.91432","","","",
"Barbados","BRB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","5.63251","6.21866","6.15611","6.88994","","5.9451","6.51775","","","","","","","","","","","","","","6.60199","","","","","","","","4.25458","4.62159","5.9389","5.77131","6.1233","5.91066","5.56433","","5.11607","5.06121","5.32773","5.87482","","5.62441","5.50356","6.71179","",
"Brunei Darussalam","BRN","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","6.23915","4.99502","4.03929","8.79329","3.39271","1.96134","1.97008","","2.11424","1.54552","1.19108","1.61678","1.69715","","","","","4.73773","5.40903","4.69012","3.95996","3.66894","3.74769","4.29403","","","","","5.25395","4.93205","3.70591","","","","","","","","","","2.04661","3.68108","3.20704","","3.76595","",
"Bhutan","BTN","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.51379","5.7178","","","6.41799","7.0781","","","4.7975","4.62672","4.02447","4.65258","","5.58966","5.95991","",
"Botswana","BWA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","4.38724","3.90639","3.26279","3.67424","5.64943","6.06396","5.40031","5.95214","6.14173","5.46932","","","5.55227","5.55166","5.65072","5.18593","6.11773","6.15111","","5.73963","","6.84061","","","","","","","","","","","","","10.67859","","8.88464","","9.63293","","","","","","",
"Central African Republic","CAF","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","3.17053","","","","","","","","2.20775","2.54805","","","2.2442","2.27631","","","","","","","","1.69002","1.61265","","1.51957","1.5398","1.62453","1.63638","1.40242","1.31289","1.29002","1.30356","1.20455","1.22862","","","","",
"Canada","CAN","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","7.72195","7.62703","7.04823","6.69983","6.45278","6.73124","6.7438","7.10849","6.72499","6.49456","6.44042","6.52908","6.88161","6.6485","6.23894","6.0741","6.35449","6.2092","6.11443","6.00705","6.90657","6.79398","7.7335","6.70718","6.34796","","","5.5274","5.55329","5.45619","4.98865","5.03578","","","4.80467","","4.79737","4.66087","4.87313","5.37116","5.27246","","","","",
"Central Europe and the Baltics","CEB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","4.37124","4.33295","4.40135","4.50872","4.36412","4.30994","4.34654","4.30139","4.36794","4.27745","4.53429","4.69238","","5.10485","5.068","5.07213","5.07918","","4.88814","","","","","","","","","","","5.05967","4.94787","4.99342","5.04805","","","",
"Channel Islands","CHI","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","3.91397","3.79159","","","3.18819","3.66278","4.44413","5.19505","","","","","","3.00609","","","2.36103","","","2.46387","2.59627","2.64011","2.88004","3.09043","3.43289","3.84052","3.70598","","4.00947","3.8516","3.48845","3.22508","3.02381","3.22353","3.79267","4.24129","4.18121","4.06808","4.57408","4.55744","","",
"China","CHN","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","1.4062","1.62662","1.67224","1.78501","1.73256","1.84428","1.77582","1.97414","2.16535","1.92701","1.96382","2.04988","2.09268","2.01306","2.02126","2.07502","1.81504","1.77345","","","","1.66228","1.6648","1.993","1.84825","1.85964","","1.85111","1.89593","","","","","","","","","","","","","","","","",
